Molecule Name,SMILES,Caco-2 Permeability Efflux
E-0010647,CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,1.92
E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,0.78
E-0011335,Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,1.39
E-0011365,COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,1.15
E-0011366,COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,0.48
E-0011648,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,0.41
E-0011694,Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,0.7
E-0011791,CS(=O)(=O)Nc1cccc(-c2ccnc(Nc3ccc(CC(N)=O)cc3)n2)c1,23.6
E-0011872,O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccc(Cl)cc2)CC1,0.9
E-0011874,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,1.0
E-0011880,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,0.72
E-0011881,c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2cn1,0.84
E-0011882,c1cc2ccc(-n3cc(OCCN4CCCCC4)cn3)cc2nn1,0.93
E-0011883,CNc1cc2ccncc2cc1-n1cc(OCCN2CCCCC2)cn1,0.85
E-0011884,Cc1c2ccncc2cc2c3cc(OCCNC4CCOCC4)ccc3n(C)c12,0.66
E-0011885,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC4CCOCC4)ccc3n(C)c12,0.89
E-0011888,Nc1cc(-c2ccccc2)nc2nc(-c3ccccc3)cn12,0.91
E-0011889,COC(=O)c1nn(-c2ccccc2)cc1N,0.83
E-0011890,COC(=O)c1nn(C(C)C)cc1N,0.86
E-0011891,O=C(c1nn(CCO)c2ccccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,0.73
E-0011892,CN(C)CCn1nc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)c2ccccc21,0.85
E-0011893,CN1CCN(c2cccc(Nc3nc(-c4ccc(F)cc4)cs3)c2)CC1,1.77
E-0011894,CN(C)CCCOc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,1.37
E-0011895,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2Cl)CC1,1.02
E-0011896,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccc(Cl)c2)CC1,0.84
E-0011897,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,0.63
E-0011898,O=C(c1n[nH]c2ccccc12)N1CC(NCc2ccc(Cl)cc2)C1,0.53
E-0011899,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2Cl)CC1,0.54
E-0011900,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,1.05
E-0011901,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(F)cc2)CC1,0.83
E-0011908,Cc1ccc2[nH]nc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)c2c1,0.9
E-0011911,O=C(c1n[nH]c2cc(F)ccc12)N1CCC(Oc2ccc(Cl)cc2)CC1,1.22
