Molecule Name,SMILES,LogD,KSOL
E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,2.8,67.4
E-0011083,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,-0.1,95.2
E-0011133,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,90.8
E-0011137,CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,97.2
E-0011305,COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.7,56.6
E-0011306,COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.1,73.0
E-0011316,Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,1.9,55.0
E-0011317,Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.9,44.0
E-0011335,Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,3.0,10.4
E-0011637,Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,3.1,33.2
E-0011638,Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.8,55.1
E-0011646,O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,2.6,61.1
E-0011647,Cn1c(=O)ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.8,26.1
E-0011648,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,3.3,49.0
E-0011658,CN1C(=O)CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.9,99.8
E-0011659,COc1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2n1,4.4,50.0
E-0011660,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccnnc3c2)c1,2.4,107.0
E-0011661,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,2.5,102.0
E-0011662,O=C1Cc2ccc(-c3ccc(O)cc3)cc2N1,2.5,94.2
E-0011663,Oc1ccc(-c2ccc3ccncc3c2)cc1,3.6,0.907
E-0011664,O=C1Cc2ccc(-c3cccc(O)c3)cc2N1,2.5,80.4
E-0011665,CN1C(=O)Cc2ccc(-c3cccc(O)c3)cc21,2.6,73.0
E-0011666,Oc1cccc(-c2ccc3ccncc3c2)c1,3.6,10.2
E-0011669,COc1cc(Nc2nccc(=O)[nH]2)cc(OC)c1,1.3,94.1
E-0011670,COc1cccc(Nc2nccc(=O)[nH]2)c1,1.1,103.0
E-0011671,Cc1cccc(Nc2nccc(=O)[nH]2)c1,1.5,97.4
E-0011694,Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,4.0,0.13
E-0011695,O=C1Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,2.5,75.0
E-0011696,CN1C(=O)Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.6,85.0
E-0011697,O=C1Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc2N1,2.5,74.8
E-0011698,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2nn1,2.4,91.8
E-0011699,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccncc3c2)c1,3.5,70.2
