Molecule Name,SMILES,LogD,MPPB
E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,2.8,8.0
E-0011083,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,-0.1,9.5
E-0011133,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,29.4
E-0011137,CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,30.7
E-0011305,COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.7,2.2
E-0011306,COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.1,8.4
E-0011316,Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,1.9,14.2
E-0011317,Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.9,1.9
E-0011637,Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,3.1,0.6
E-0011638,Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.8,1.7
E-0011646,O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,2.6,4.8
E-0011647,Cn1c(=O)ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.8,3.7
E-0011648,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,3.3,2.8
E-0011658,CN1C(=O)CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.9,4.5
E-0011659,COc1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2n1,4.4,0.5
E-0011660,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccnnc3c2)c1,2.4,11.0
E-0011661,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,2.5,18.9
E-0011662,O=C1Cc2ccc(-c3ccc(O)cc3)cc2N1,2.5,4.7
E-0011663,Oc1ccc(-c2ccc3ccncc3c2)cc1,3.6,1.1
E-0011664,O=C1Cc2ccc(-c3cccc(O)c3)cc2N1,2.5,5.5
E-0011665,CN1C(=O)Cc2ccc(-c3cccc(O)c3)cc21,2.6,4.3
E-0011666,Oc1cccc(-c2ccc3ccncc3c2)c1,3.6,1.7
E-0011669,COc1cc(Nc2nccc(=O)[nH]2)cc(OC)c1,1.3,27.3
E-0011670,COc1cccc(Nc2nccc(=O)[nH]2)c1,1.1,41.1
E-0011671,Cc1cccc(Nc2nccc(=O)[nH]2)c1,1.5,30.1
E-0011694,Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,4.0,0.6
E-0011695,O=C1Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,2.5,8.2
E-0011696,CN1C(=O)Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,2.6,5.2
E-0011697,O=C1Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc2N1,2.5,12.4
E-0011698,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2nn1,2.4,9.1
E-0011699,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccncc3c2)c1,3.5,3.1
E-0011700,CN1C(=O)Cc2ccc(-c3ccc(O)cc3)cc21,2.6,2.7
E-0011702,Fc1ccc(-c2csc(Nc3ccncc3)n2)cc1,4.2,1.8
E-0011706,Nc1ccnc2cc(-c3ccccc3)nn12,3.0,4.5
E-0011758,Cc1cc(-c2nccs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,3.3,0.1
E-0011759,CN1C(=O)Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc21,2.2,6.7
E-0011760,Cc1cc(C2(C#N)CC2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.8,0.8
E-0011761,Cc1cc(C#N)cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,3.3,1.3
E-0011762,O=c1ccnc(Nc2cc(Cl)cc(Cl)c2)[nH]1,2.6,0.2
E-0011763,O=c1ccnc(Nc2cccc(Cl)c2)[nH]1,1.7,13.4
E-0011802,Cc1cc(C#N)cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,4.3,0.1
E-0011803,COCCNC(=O)c1ccc2c(c1)c1cc(C#N)cc(C)c1n2C,3.1,2.0
E-0011804,COc1cc(Nc2nc(-c3ccccc3)cc(=O)[nH]2)cc(OC)c1,4.0,0.2
E-0011805,Nc1cc(C2CC2)nc2cc(-c3ccccc3)nn12,3.8,1.2
E-0011806,COc1ccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)cc1,4.8,0.0
