,SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Log_Caco_Papp_AB,Log_Caco_ER,Log_Mouse_PPB,Log_Mouse_BPB,Log_Mouse_MPB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
0,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,,,1.7589118923979734,2.2631624649622166,,,,,,,,=,=,,,,,,AELDWFGFDSTYDV-DEOSSOPVSA-N
1,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,,,2.2079035303860515,3.13100881279064,,,,,,,,=,=,,,,,,NCCOQMRIPAPGNR-UHFFFAOYSA-N
2,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,,,,2.2889196056617265,,,,,,,,,=,,,,,,ZNTBNESSWOHBPD-UHFFFAOYSA-N
3,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,,,1.021189299069938,1.591064607026499,,,,,,,,=,<,,,,,,UYUIMPIKINVAPS-UHFFFAOYSA-N
4,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,,,0.9822712330395684,2.2121876044039577,,,,,0.005266332972768842,,,<,=,,,,,=,DTYIIQCGXIIFFU-UHFFFAOYSA-N
5,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,,,1.2988530764097066,1.8142475957319202,,,,,,,,=,=,,,,,,XPTOQRSOKGUGAU-UHFFFAOYSA-N
6,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,,,1.2013971243204515,1.826722520168992,,,,,,,,=,=,,,,,,RUVRREXDWZZJNC-UHFFFAOYSA-N
7,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,,,1.2041199826559248,2.225309281725863,,,,,,,,=,=,,,,,,DFJYVDROFXMAHN-UHFFFAOYSA-N
8,CN(C)C[C@H](O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OC[C@@H](O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002337,,,0.9822712330395684,1.591064607026499,,,,,,,,<,<,,,,,,XPTOQRSOKGUGAU-PMACEKPBSA-N
9,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,,,2.3879234669734366,1.8959747323590646,,,,,,,,=,=,,,,,,BFSSJJONCKJJEC-UHFFFAOYSA-N
10,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,E-0003046,,,0.9912260756924949,1.591064607026499,,,,,,,,=,<,,,,,,YYTPJCOZHRSISX-UHFFFAOYSA-N
11,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,,,0.9242792860618817,2.5352941200427703,,,,,,,,=,=,,,,,,RRHNQLJYXKPHGC-UHFFFAOYSA-N
12,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,,,1.1818435879447726,1.9232440186302764,,,,,,,,=,=,,,,,,URCHQGCJRAKGNE-UHFFFAOYSA-N
13,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,,,1.2988530764097066,2.5276299008713385,,,,,,,,=,=,,,,,,MPGDQWACTPETQI-UHFFFAOYSA-N
14,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,,,1.0374264979406236,2.2576785748691846,,,,,,,,=,=,,,,,,FVTIOFJBBVRGRG-UHFFFAOYSA-N
15,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010022,,,1.2201080880400552,2.3998467127129226,,,,,,,,=,=,,,,,,VHRBVJCMWVJVOG-UHFFFAOYSA-N
16,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,E-0010024,,,0.9822712330395684,1.568201724066995,,,,,,,,<,=,,,,,,GDRWSXDIFRSDFP-UHFFFAOYSA-N
17,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,E-0010025,,,1.0128372247051722,3.3107994838343924,,,,,,,,=,=,,,,,,LDGWOCHWPYOCJQ-UHFFFAOYSA-N
18,O=C(NCc1ccc(CO)o1)Nc1ccc2nnsc2c1,E-0010026,,,0.9822712330395684,1.591064607026499,,,,,,,,<,<,,,,,,QCAOFOCJIDKDBR-UHFFFAOYSA-N
19,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,E-0010059,,,1.0043213737826426,1.7466341989375787,,,,,,,,=,=,,,,,,KZVZYWCARIQGQY-UHFFFAOYSA-N
20,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,E-0010060,,,1.7435097647284297,2.819083075743703,,,,,,,,=,=,,,,,,PQOPCMMLFSBNTO-UHFFFAOYSA-N
21,CNCC(=O)NCc1cccc(CNC(=O)Nc2ccc3nnsc3c2)c1,E-0010061,,,0.9822712330395684,1.591064607026499,,,,,,,,<,<,,,,,,WSKNVCHOGLWIHD-UHFFFAOYSA-N
22,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,E-0010062,,,0.9822712330395684,1.606381365110605,,,,,,,,<,=,,,,,,FSYLCXHYNKDZNZ-UHFFFAOYSA-N
23,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,E-0010066,,,0.9822712330395684,1.8457180179666586,,,,,,,,<,=,,,,,,XFFSMTYGFINLEU-UHFFFAOYSA-N
24,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,E-0010071,,,2.2415464805965484,1.989894563718773,,,,,,,,=,=,,,,,,WGMDQXMJHWLZTP-UHFFFAOYSA-N
25,CN(C)C(=N)NCCCOc1ccc2nc(-c3ccc(-c4nc5ccc(O)cc5[nH]4)cc3)[nH]c2c1,E-0010095,,,0.9822712330395684,1.591064607026499,,,,,,,,<,<,,,,,,IYQDEGXBBHLFLX-UHFFFAOYSA-N
26,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,E-0010120,,,1.2253092817258628,2.8304603500309673,,,,,,,,=,=,,,,,,MZQMKKZELGUUOU-UHFFFAOYSA-N
27,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,E-0010121,,,2.0941215958405612,2.6434526764861874,,,,,,,,=,=,,,,,,LPLSVZPAWJOCEA-UHFFFAOYSA-N
28,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,E-0010138,,,,3.6113940113402916,,,,,,,,,=,,,,,,WBVIUTLSHBDZAE-CQSZACIVSA-N
29,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0010347,,-3.9136401693252516,,2.6223176608338443,,,0.7923916894982539,,,,=,,=,,,=,,,CRWYSGCPTCDGCX-UHFFFAOYSA-N
30,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,E-0010358,,,1.0681858617461617,2.714329759745233,,,,,,,,=,=,,,,,,HUCIYQLMVLPNIG-UHFFFAOYSA-N
31,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0010360,,,,2.439016728387513,,,,,,,,,=,,,,,,ARCLHUKLAAWOIE-UHFFFAOYSA-N
32,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010361,,,,2.3884564527002667,,,,,,,,,=,,,,,,KSDKFAKRLXIECE-UHFFFAOYSA-N
33,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010362,,,1.0681858617461617,2.8363241157067516,,,,,,,,=,=,,,,,,SYEYWSCEDITGAC-UHFFFAOYSA-N
34,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0010455,,,1.6739419986340878,2.6020599913279625,,,,,,,,=,=,,,,,,VODFSJCYWYARKS-UHFFFAOYSA-N
35,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,E-0010457,,,,2.513217600067939,,,,,,,,,=,,,,,,SJKREWCGLJBSAW-UHFFFAOYSA-N
36,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,E-0010464,,-3.7375489102695707,,2.683677298818692,,,1.3926969532596658,,,,=,,=,,,=,,,QTLLHXIGXGSTNT-UHFFFAOYSA-N
37,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010481,,-3.6903698325741012,,2.4410664066392633,,,1.8000293592441343,,,,=,,=,,,=,,,KCUFTYNLOSLHKP-UHFFFAOYSA-N
38,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010482,,-3.6478174818886377,0.9822712330395684,2.3378584290410944,,,1.5797835966168101,,,,=,<,=,,,=,,,LRVHZTAZLMYEKU-UHFFFAOYSA-N
39,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0010495,,,0.9822712330395684,2.369215857410143,,,,,,,,<,=,,,,,,BNYNYAHPMCIELX-UHFFFAOYSA-N
40,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,E-0010519,,-3.7423214251308154,0.9822712330395684,2.1136091510730277,,,1.6522463410033232,,,,=,<,=,,,=,,,YTJNHJASHBDORE-UHFFFAOYSA-N
41,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,E-0010520,,-3.709965388637482,,1.6253124509616739,,,1.8756399370041683,,,,=,,=,,,=,,,FHCHOIXLUJZBHX-UHFFFAOYSA-N
42,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010559,,-4.869666231504994,1.69810054562339,2.8683504996479683,,,0.38021124171160603,,,,=,=,=,,,=,,,RNPWALZBICWFTG-UHFFFAOYSA-N
43,COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,E-0010561,,-3.8013429130455774,,3.5219353022483006,,,0.6627578316815741,,,,=,,=,,,=,,,RSKLKXULBJOANY-UHFFFAOYSA-N
44,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,E-0010562,,-3.8507808873446203,1.1335389083702174,2.475235222604128,,,0.6434526764861874,,,,=,=,=,,,=,,,AHGLJDLDQNUHIQ-UHFFFAOYSA-N
45,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,E-0010567,,-3.8041003475907664,1.1643528557844371,2.161966616364075,,,0.5910646070264992,,,,=,=,=,,,=,,,JRCOKRYFHGGLFE-UHFFFAOYSA-N
46,COc1ccc2c(c1)c1cc3c(C(=O)NCCCN(C)C)nccc3c(C)c1n2C,E-0010568,,,0.9822712330395684,3.154697793596388,,,,,,,,<,=,,,,,,JRDGAKCFHLHYET-UHFFFAOYSA-N
47,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,E-0010569,,-3.623423042943488,1.2695129442179163,2.42781057267599,,,0.5314789170422551,,,,=,=,=,,,=,,,CXMUOSSEOLEKAV-UHFFFAOYSA-N
48,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010578,,-3.609064892896621,1.1367205671564067,2.3774883833761327,,,0.6127838567197355,,,,=,=,=,,,=,,,ULHNVLFLBKDOGR-UHFFFAOYSA-N
49,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,E-0010584,,-5.591760034688151,1.9623693356700211,3.163697945892569,,,0.25527250510330607,,,,<,=,=,,,=,,,JHLNPYDMZQGEQH-UHFFFAOYSA-N
50,Cc1c2ccncc2cc2c3ccc(OCC4=NCCN4)cc3n(C)c12,E-0010596,,,,2.78738962135211,,,,,,,,,=,,,,,,IHLRVIHONMSHHQ-UHFFFAOYSA-N
51,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,E-0010600,,-5.591760034688151,2.053462604925455,2.438384107034714,,,0.2041199826559248,,,,<,=,=,,,=,,,NXBXSTINAJINGK-UHFFFAOYSA-N
52,Cc1c2ccncc2cc2c3cc(OC[C@H]4CCCN4)ccc3n(C)c12,E-0010604,,-3.7569619513137056,,2.3267453795653217,,,0.6720978579357175,,,,=,,=,,,=,,,SVJJMGZYYYIEIN-MRXNPFEDSA-N
53,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,E-0010607,,,1.294466226161593,2.7633531087482153,,,,,,,,=,=,,,,,,HWUQJQGTYYWOTM-UHFFFAOYSA-N
54,Cc1c2ccncc2cc2c3cc(OC[C@@H]4CCCN4)ccc3n(C)c12,E-0010611,,-3.642065152999546,0.9822712330395684,2.3602146132953523,,,0.4471580313422192,,,,=,<,=,,,=,,,SVJJMGZYYYIEIN-INIZCTEOSA-N
55,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,E-0010625,,-5.0589857562944305,1.824125833916549,2.93896979722289,,,0.43136376415898736,,,,=,=,=,,,=,,,WHPPYWVLTFEABB-UHFFFAOYSA-N
56,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010627,,-3.8210230527068307,,2.6981875698661226,,,1.6821450763738317,,,,=,,=,,,=,,,YWECKZZXVCHJJZ-UHFFFAOYSA-N
57,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0010628,,,,1.760422483423212,,,,,,,,,=,,,,,,AGBCCBJDQWWFEF-UHFFFAOYSA-N
58,CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,E-0010647,1.5,,,,-5.287350298372789,0.4653828514484183,,,,=,,,,=,=,,,,SDEKDSQIEKPVPH-UHFFFAOYSA-N
59,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3c(C)c21,E-0010656,,-3.692503962086787,0.9822712330395684,2.686725621074542,,,0.38021124171160603,,,,=,<,=,,,=,,,HBKULWKMEDVQJW-UHFFFAOYSA-N
60,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4C)ccc3n(C)c12,E-0010660,,-4.120904120499927,,2.3898745583909853,,,0.8195439355418687,,,,=,,=,,,=,,,DQTJEZQXCLGHAV-UHFFFAOYSA-N
61,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,E-0010662,,-3.679853713888946,1.4771212547196624,3.1354189050278523,,,0.4471580313422192,,,,=,=,=,,,=,,,PJJGOQUBHGAHMP-UHFFFAOYSA-N
62,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,E-0010676,,,1.667452952889954,3.3687701985902216,,,,,,,,=,=,,,,,,VMMMZNROCZHKKD-UHFFFAOYSA-N
63,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C(C)C)c12,E-0010686,,,0.9822712330395684,2.608632989490037,,,,,,,,<,=,,,,,,IOACCZKYFDOCAR-UHFFFAOYSA-N
64,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,E-0010690,,-5.591760034688151,1.8715729355458788,3.1481397365012196,,,0.43136376415898736,,,,<,=,=,,,=,,,HFWMKDVXMCOFSG-UHFFFAOYSA-N
65,CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010691,,-5.591760034688151,1.6242820958356683,2.3479151865016914,,,0.43136376415898736,,,,<,=,=,,,=,,,QDOLUGVYDDWBSA-UHFFFAOYSA-N
66,Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,E-0010712,,,1.2405492482825997,2.284205067701794,,,,,,,,=,=,,,,,,HMXJXCXSSYYKLH-UHFFFAOYSA-N
67,COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010713,,-3.838631997765025,1.6127838567197355,3.279027805622721,,,0.8388490907372553,,,,=,=,=,,,=,,,ZDGBZGMFJLFJRC-UHFFFAOYSA-N
68,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,E-0010724,,,,1.857935264719429,,,,,,,,,=,,,,,,XSPWAODYHQMDPQ-LBPRGKRZSA-N
69,Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010727,,-4.809668301829708,1.1038037209559568,3.204960614115602,,,0.9777236052888477,,,,=,=,=,,,=,,,XSIWDCPBVQSVCG-UHFFFAOYSA-N
70,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,E-0010730,,-3.688246138944246,1.2201080880400552,3.021850577434325,,,0.9731278535996987,,,,=,=,=,,,=,,,JXVGAOSIWCECIX-OAQYLSRUSA-N
71,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,E-0010733,,-3.96657624451305,1.5314789170422551,3.5538830266438746,,,0.724275869600789,,,,=,=,=,,,=,,,DMZOZOVLKKRLNA-UHFFFAOYSA-N
72,CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,E-0010734,,-3.6497519816658373,1.3521825181113625,3.292411148837825,,,0.9590413923210935,,,,=,=,=,,,=,,,MGJXMWVFEVABNG-UHFFFAOYSA-N
73,Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,E-0010736,,-3.6635402661514704,1.287801729930226,2.2511513431753545,,,0.5797835966168101,,,,=,=,=,,,=,,,XFUIRWQMJDCYFD-UHFFFAOYSA-N
