,SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
0,COc1cccc(Cl)c1NC(=O)N1CCC[C@H](C(N)=O)C1,ASAP-0032437,0.3,,,,,,,,,=,,,,,,,,,
1,O=C(NCC(F)F)[C@H](Nc1cc2c(cc1Br)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031915,2.9,-3.4762535331884354,,,,,,,,=,=,,,,,,,,
2,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Br)cc2nc[nH]c12,ASAP-0031884,0.4,,,,,,,,,=,,,,,,,,,
3,NC(=O)[C@H]1CCCN(C(=O)Cc2cccc3occc23)C1,ASAP-0031848,1.0,-3.423658649794207,,,,,,,,=,=,,,,,,,,
4,Cc1cc(CC(=O)N2CCC[C@H](C(N)=O)C2)ccn1,ASAP-0031813,-0.3,-3.424812155072339,,,,,,,,=,=,,,,,,,,
5,O=C(NCC(F)F)[C@H](Nc1cnc2c(c1)CNC2)c1cc(Cl)cc(C2CC2)c1,ASAP-0031747,1.5,-3.4400933749638876,,,,,,,,=,=,,,,,,,,
6,COc1cc(Cl)cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)c1,ASAP-0031580,0.5,,,,,,,,,=,,,,,,,,,
7,Cc1cc([C@H](Nc2ccc3c(c2)CNC3)C(=O)NCC(F)F)cc(C(F)(F)F)c1,ASAP-0031651,1.0,,,,,,,,,=,,,,,,,,,
8,O=C(NCC(F)F)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2ccoc12,ASAP-0031402,0.6,-3.72584215073632,,,,,,,,=,=,,,,,,,,
9,CC(C)NC(=O)[C@H](Nc1ccc2c(c1)CNC2)c1cc(Cl)cc2[nH]c(-c3ccccc3)nc12,ASAP-0031455,2.8,-3.869666231504994,,1.0791812460476249,,,,,,=,=,,=,,,,,,
