Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0001321,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,,,56.4,182.3,,,,,
E-0001780,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,160.4,1351.1,,,,,
E-0001827,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,,,,193.5,,,,,
E-0002019,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,,,9.5,,,,,,
E-0002036,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,,162.0,,,,,0.0122
E-0002269,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,,,18.9,64.2,,,,,
E-0002284,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,,,14.9,66.1,,,,,
E-0002290,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,,,15.0,167.0,,,,,
E-0002377,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,,,243.3,77.7,,,,,
E-0003046,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,,,8.8,,,,,,
E-0003079,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,,,7.4,342.0,,,,,
E-0003089,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,,,14.2,82.8,,,,,
E-0003090,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,,,18.9,336.0,,,,,
E-0010021,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,,,9.9,180.0,,,,,
E-0010022,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,,,15.6,250.1,,,,,
E-0010024,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,,,,36.0,,,,,
E-0010025,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,,,9.3,2044.5,,,,,
E-0010059,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,,,9.1,54.8,,,,,
E-0010060,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,,,54.4,658.3,,,,,
E-0010062,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,,,,39.4,,,,,
E-0010066,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,,,,69.1,,,,,
E-0010071,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,,,173.4,96.7,,,,,
E-0010120,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,,,15.8,675.8,,,,,
E-0010121,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,,,123.2,439.0,,,,,
E-0010138,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,,,,4085.9,,,,,
E-0010347,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,,121.0,,418.1,,,5.2,,
E-0010358,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,,,10.7,517.0,,,,,
E-0010360,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,,,,273.8,,,,,
E-0010361,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,,243.6,,,,,
E-0010362,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,,,10.7,685.0,,,,,
E-0010455,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,,,46.2,399.0,,,,,
E-0010457,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,,,,325.0,,,,,
E-0010464,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,,182.0,,481.7,,,23.7,,
E-0010481,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,,203.0,,275.1,,,62.1,,
E-0010482,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,,224.0,,216.7,,,37.0,,
E-0010495,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,,,,233.0,,,,,
E-0010519,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,,180.0,,128.9,,,43.9,,
E-0010520,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,,194.0,,41.2,,,74.1,,
