Murcko Scaffold,count
c1ccccc1,179
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,118
c1ccc(-c2ccc3ccncc3c2)cc1,93
O=c1c2c([nH]c3ccccc13)CCCC2,79
O=c1[nH]ccc2c1[nH]c1cc(OCCN3CCCCC3)ccc12,66
c1ccc2c(c1)[nH]c1cc3ccncc3cc12,65
c1c[nH+]c[nH]1,57
c1ccc(Nc2ccnc3ccccc23)cc1,57
O=C(NC1CCN(c2ccncc2)CC1)c1cc2cc(-c3nncs3)cnc2[nH]1,55
O=c1c2[nH]c3ccccc3c2ccn1CCCN1CCCCC1,53
O=C(CN1C(=O)NC(c2ccccc2)C1=O)c1ccccc1,49
c1cc2ccc(-c3ccc(OCCN4CCOCC4)cc3)cc2cn1,43
c1ccc(Nc2ccccc2)cc1,42
O=C(c1c[nH]c2ncccc12)N1CCN(c2ccc(CN3CCC3)cc2)CC1,42
O=c1[nH]ccc2c1[nH]c1ccccc12,41
c1ccc(-c2ccccc2)cc1,40
c1cc2ccc(-c3ccc(OCCN4CCCC4)cc3)cc2cn1,39
O=C(NC1CC1)C1CCCCC1C(=O)N1CCc2[nH]c3ccccc3c2C1,38
c1ccc(CCN2CCC(CN3CCC(Oc4ccccc4)CC3)CC2)cc1,38
c1ccc(Nc2ccnc3ncnn23)cc1,35
c1cc2ncc(-c3ccc(OCCN4CCCCC4)cc3)cn2n1,34
O=c1cc(N2CCOCC2)oc2c(CNc3ccccc3)cccc12,33
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(-c3nncs3)cnc2[nH]1,33
O=c1ocnc2ccccc12,33
c1ccc(OCc2ccnc(-c3ccccn3)n2)cc1,33
c1ccc(-c2ccn3c(c2)nc2ccccc23)cc1,32
O=c1[nH]cc(-c2ccccc2Oc2ccccc2)c2cc[nH]c12,31
O=C1CNC(=O)c2cc(S(=O)(=O)Nc3ccccc3)ccc2N1,31
O=c1cc[nH]c2ccccc12,30
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)c2ccccc2)CC1,29
c1ccc(Nc2nccc(-c3ccccc3)n2)cc1,29
c1cc(-c2ccc(OCCN3CCCCC3)cc2)c2ccncc2c1,29
c1cncc(OC2C3CCC2CN(Cc2n[nH]c4ccccc24)C3)c1,29
c1ccc(Nc2nccc(-c3cnc[nH]3)n2)cc1,28
c1ccc(-c2cncc(-c3cccnc3)c2)cc1,28
O=c1[nH]ccc2c1[nH]c1cc(OCCN3CC4(COC4)C3)ccc12,28
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(-c3nncs3)ccn2n1,28
O=C(c1n[nH]c2ccccc12)N1CC2CCC(C1)C2Oc1cccnc1,28
C1CCCCC1,27
c1ccc(-c2nc3ccccc3o2)cc1,27
O=C1NCC2(CCN(c3cncc4ccccc34)C2=O)c2ccccc21,27
c1ccc(Nc2cccc(-c3cccnc3)n2)nc1,27
c1cncc(OC2C3CCC2CN(Cc2n[nH]c4cccnc24)C3)c1,26
c1cc(Nc2cc3[nH]cnc3cn2)nc(N2CCCCC2)n1,26
c1ccc(-c2ncco2)cc1,26
c1ccncc1,25
O=c1ccn(C2CCCN(Cc3cccc(Oc4ccccc4)c3)C2)c(=O)[nH]1,24
c1ccc(-c2ccc(OCCN3CCCCC3)cc2)cc1,24
c1nc(NC2CCC2)c2cc[nH]c2n1,24
c1ccn2c(-c3ccnc(Nc4ccc(N5CCNCC5)cc4)n3)cnc2c1,24
O=C1c2cncnc2OCCN1c1ccc(-c2ccccc2)cc1,24
c1ccc(Cn2ccc3c(OC4CCN(Cc5cscn5)CC4)ncnc32)cc1,24
O=c1c2[nH]c3ccccc3c2ncn1CCCN1CCCCC1,23
O=C(NC1CCCCC1)c1cc2ccccc2[nH]1,23
O=C(NC1CCCN(c2ccncc2)C1)c1cc2cc(-c3nncs3)cnc2[nH]1,23
c1ccc(Sc2c[nH]c3ccccc23)cc1,22
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)C2CCNCC2)CC1,22
O=c1ccn(-c2ccccc2)c2cc(N3CCNCC3)ccc12,22
O=C(NC1CCN(c2ccncc2)CC1)c1cc2cc(-c3nncs3)ccn2n1,22
O=C(Nc1ccnn1-c1ccccc1)c1cccc(-c2ccccn2)c1,21
c1ccc2ncccc2c1,21
c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,21
O=c1c(-c2ccccc2)c[nH]c2ccccc12,21
c1ccc2ccccc2c1,21
c1ccc(C2NCCc3ccccc32)cc1,21
c1ccc(-c2ccc3cnc(Nc4cnccc4N4CCCCC4)n3n2)cc1,21
O=C(c1ccccc1)c1c[nH]c2ncc(-c3cnn(C4CCNCC4)c3)cc12,21
c1ccc(Nc2ncnc3ccccc23)cc1,20
O=C(NS(=O)(=O)c1ccccc1)N1CCC(N2CCC(Oc3ccccc3)CC2)CC1,20
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(N3CCNCC3)cnc2[nH]1,20
O=C(Cc1cncc2ccccc12)N1CCCCC1,20
c1ccc2[nH]ncc2c1,20
O=c1[nH]ccc2c1[nH]c1cc(OCCN3CCNCC3)ccc12,19
O=C(Nc1ccccc1)C1CNCC1C(=O)Nc1ccc(-n2ccccc2=O)cc1,19
c1ccc(-c2ccccc2OCc2ccccn2)cc1,19
