Unnamed: 0,SMILES,Molecule Name,LogD,LogS,Log_HLM_CLint,Log_MLM_CLint,Log_Caco_Papp_AB,Log_Caco_ER,Log_Mouse_PPB,Log_Mouse_BPB,Log_Mouse_MPB
0,CN1CCC[C@H]1COc1ccc(-c2nc3cc(-c4ccc5[nH]c(-c6ccc(O)cc6)nc5c4)ccc3[nH]2)cc1,E-0001321,,,1.7589118923979734,2.2631624649622166,,,,,
1,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0001780,,,2.2079035303860515,3.13100881279064,,,,,
2,Cc1c2ccncc2cc2c3cc(OCCCN4CCN(C)CC4)ccc3n(C)c12,E-0001827,,,,2.2889196056617265,,,,,
3,CN(C)CCCOc1ccc(-c2nc3cc(NC(=O)c4ccc5[nH]c(-c6ccc(OCCCN(C)C)cc6)nc5c4)ccc3[nH]2)cc1,E-0002019,,,1.021189299069938,,,,,,
4,CN(C)CCCOc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002036,,,,2.2121876044039577,,,,,0.0052663329727688
5,CN(C)CC(O)COc1ccc2nc(-c3ccc(-c4nc5ccc(OCC(O)CN(C)C)cc5[nH]4)c(F)c3)[nH]c2c1,E-0002269,,,1.2988530764097066,1.81424759573192,,,,,
6,COc1ccc(-c2nc3ccc(OCCCN(C)C)cc3[nH]2)cc1NC(=O)c1cccc(NC(=O)c2ncc[nH]2)c1,E-0002284,,,1.2013971243204515,1.826722520168992,,,,,
7,Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1cccc(-c2nc3cc(OCCCN(C)C)ccc3[nH]2)c1,E-0002290,,,1.2041199826559248,2.225309281725863,,,,,
8,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCC(=N)N)cc5[nH]4)cc3)[nH]c2c1,E-0002377,,,2.3879234669734366,1.8959747323590648,,,,,
9,CN(C)C1CCN(c2ccc3nc(-c4ccc(-c5nc6ccc(N7CCC(N(C)C)CC7)cc6[nH]5)cc4)[nH]c3c2)CC1,E-0003046,,,0.9912260756924948,,,,,,
10,CN(C)CCCOc1ccc2nc(-c3cccc4nc(-c5ccncc5)[nH]c34)[nH]c2c1,E-0003079,,,0.9242792860618816,2.5352941200427703,,,,,
11,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]c(N)nc5c4)ccc3[nH]2)cc1,E-0003089,,,1.1818435879447726,1.9232440186302764,,,,,
12,CN(C)CCCOc1ccc(-c2nc3cc(-c4ccc5[nH]cnc5c4)ccc3[nH]2)cc1,E-0003090,,,1.2988530764097066,2.5276299008713385,,,,,
13,CN(C)Cc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010021,,,1.0374264979406236,2.257678574869185,,,,,
14,CN(C)CCOc1ccc(CNC(=O)Nc2ccc3nnsc3c2)cc1,E-0010022,,,1.2201080880400552,2.3998467127129226,,,,,
15,CC(NC(=O)Nc1ccc2nnsc2c1)c1cnn(C)c1,E-0010024,,,,1.568201724066995,,,,,
16,O=C(NCc1cn[nH]c1)Nc1ccc2nnsc2c1,E-0010025,,,1.0128372247051722,3.3107994838343924,,,,,
17,CN1CCC(C(=O)NCc2cccc(CNC(=O)Nc3ccc4nnsc4c3)c2)CC1,E-0010059,,,1.0043213737826426,1.7466341989375789,,,,,
18,O=C(NCc1cccc(CNC(=O)c2nc3ccccc3[nH]2)c1)Nc1ccc2nnsc2c1,E-0010060,,,1.7435097647284297,2.819083075743703,,,,,
19,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncccc3c2)cc1,E-0010062,,,,1.606381365110605,,,,,
20,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3ncsc3c2)cc1,E-0010066,,,,1.8457180179666584,,,,,
21,COc1ccc2nc(-c3ccc(-c4nc5ccc(OCCCNC(=N)N(C)C)cc5[nH]4)cc3)[nH]c2c1,E-0010071,,,2.2415464805965484,1.989894563718773,,,,,
22,CN(C)CCCOc1ccc(CNC(=O)Nc2ccc3cnccc3c2)cc1,E-0010120,,,1.2253092817258628,2.8304603500309677,,,,,
23,NCc1cccc(CNC(=O)Nc2ccc3ncccc3c2)c1,E-0010121,,,2.094121595840561,2.6434526764861874,,,,,
24,COc1ccc2c(c1)c1cc3c(C(=O)N[C@H](C)CN(C)C)nccc3c(C)c1n2C,E-0010138,,,,3.611394011340292,,,,,
25,Cc1c2ccncc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,E-0010347,,-3.913640169325252,,2.6223176608338443,,,0.7923916894982539,,
26,Cc1c2ccncc2cc2c3cc(OCCCN4CCOCC4)ccc3n(C)c12,E-0010358,,,1.0681858617461617,2.714329759745233,,,,,
27,Cc1c2ccncc2cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,E-0010360,,,,2.439016728387513,,,,,
28,CCN(CC)CCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010361,,,,2.3884564527002667,,,,,
29,Cc1c2ccncc2cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,E-0010362,,,1.0681858617461617,2.836324115706752,,,,,
30,Cc1c2ccncc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,E-0010455,,,1.6739419986340878,2.6020599913279625,,,,,
31,Cc1c2ccncc2cc2c3cc(C(=O)NCCN(C)C)ccc3n(C)c12,E-0010457,,,,2.513217600067939,,,,,
32,COc1ccc2c(c1)c1cc(C(=O)NCCCN(C)C)nc(C)c1n2C,E-0010464,,-3.7375489102695703,,2.683677298818692,,,1.3926969532596658,,
33,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010481,,-3.690369832574101,,2.4410664066392638,,,1.8000293592441343,,
34,Cc1nc(C(=O)NCCN(C)C)cc2c3cc(OCCCN(C)C)ccc3n(C)c12,E-0010482,,-3.6478174818886377,,2.3378584290410944,,,1.57978359661681,,
35,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,E-0010495,,,,2.369215857410143,,,,,
36,CN(C)CCCNC(=O)c1cc2c3cc(OCCCN(C)C)ccc3n(C)c2cn1,E-0010519,,-3.742321425130816,,2.113609151073028,,,1.6522463410033232,,
37,CN(C)CCCOc1ccc2c(c1)c1cc(C(=O)NCCN(C)C)ncc1n2C,E-0010520,,-3.709965388637482,,1.625312450961674,,,1.8756399370041683,,
38,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,E-0010559,,-4.869666231504994,1.69810054562339,2.8683504996479683,,,0.380211241711606,,
