Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
PB-000001,C[C@H](Oc1cccc2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12)C(=O)N(C)C,,,1.8864907251724816,,,,,,,,,=,,,,,,,
PB-000002,Cc1ccc2c(OCCN3CCC(Cc4cccc(N5CCN(C)CC5)c4)CC3)cccc2n1,,,0.2041199826559248,,,,,,,,,=,,,,,,,
PB-000003,Cc1cc(Nc2cc(C)c(C#N)c(N[C@@H](C)CCCC(C)(C)O)n2)n[nH]1,,,1.6989700043360187,,,,,,,,,=,,,,,,,
PB-000004,C[C@@H]1CC[C@H](N)CN1c1ccncc1Nc1ncc2ccc(-c3c(F)cccc3F)nn12,,,2.307496037913213,,,,,,,,,=,,,,,,,
PB-000005,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CNc2cccc3c2cnn3-c2ccc(F)cc2)c(C)c1,4.1,,1.8920946026904804,,,,,,,=,,=,,,,,,,
PB-000006,C[C@@H]1CN(c2nnc(C(F)(F)F)o2)CCN1c1ncc(OCc2ccncc2C#N)cn1,,,1.5314789170422551,,,,,,,,,=,,,,,,,
PB-000007,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC(C4CC4)C4CC4)nc(Cl)nc31)[C@H](O)[C@@H]2O,,,0.2430380486862944,,,,,,,,,=,,,,,,,
PB-000008,C[C@@H]1CCOc2cc(F)c(-c3cnn(CCN(C)C)c3)cc2C(=O)Nc2cccc(n2)-c2nncn2C1,,,1.6232492903979006,,,,,,,,,=,,,,,,,
PB-000009,COc1cc2[nH]c(=O)c([C@H](C)Nc3ncc(C#N)c(OC)n3)cc2cc1Cl,,,3.857332496431269,3.845098040014257,,,,,,,,=,=,,,,,,
PB-000010,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2ccc(O)cc21,,,1.0,,,,,,,,,=,,,,,,,
PB-000011,CC1=C(c2ccc(F)cc2)[C@H](c2ccc(OCCN3CC(CF)C3)cc2)Oc2c(O)cccc21,,,0.9542425094393248,,,,,,,,,=,,,,,,,
PB-000012,CSc1ncccc1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.3,,1.8808135922807916,,,,,,,=,,=,,,,,,,
PB-000013,COc1cncc(Cl)c1C(=O)N[C@H](c1ccccc1)C12CCC(CC1)CN2C,1.0,,1.6532125137753435,,,,,,,=,,=,,,,,,,
PB-000014,Cc1noc(C)c1-c1cc(O)cc(CN2CCC(F)(F)CC2)c1,,,1.7109631189952756,,,,,,,,,=,,,,,,,
PB-000015,CNC1(c2ccccc2Cl)CCCCC1=O,2.18,,2.133538908370217,,,,,,,=,,=,,,,,,,
PB-000016,CC(C)CN(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,,,0.1139433523068367,,,,,,,,,=,,,,,,,
PB-000017,CCC(COC)N(CC(=O)Nc1cc(F)cc(F)c1)C(=O)c1ccc(-c2ccccn2)cc1,,,0.9822712330395684,,,,,,,,,=,,,,,,,
PB-000018,CCOC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,,,1.8444905081319125,,,,,,,,,=,,,,,,,
PB-000019,NC1CCc2c(Br)ccc(-c3ccccc3)c2CC1=O,,,1.2787536009528289,,,,,,,,,=,,,,,,,
PB-000020,Cc1ncoc1-c1nnc(SCCCN2CC[C@@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3F)C2)n1C,,,1.3010299956639813,,,,,,,,,=,,,,,,,
PB-000021,Cc1ccc(-c2nnc(SCCCN3CC[C@]4(C[C@@H]4c4ccc(C(F)(F)F)cc4)C3)n2C)c(C)n1,,,2.4756711883244296,,,,,,,,,=,,,,,,,
PB-000022,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1=CCC(=O)N=C1,,,1.4471580313422192,,,,,,,,,=,,,,,,,
PB-000023,Cn1c(SCCCN2CC[C@]3(C[C@@H]3c3ccc(C(F)(F)F)cc3)C2)nnc1C1CC2CCC(C1)O2,,,1.6989700043360187,,,,,,,,,=,,,,,,,
PB-000024,CNCc1cn(CC(=O)Nc2sc3c(c2C(N)=O)CCCC3)nc1C(C)(C)C,,,1.1760912590556811,,,,,,,,,=,,,,,,,
