Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
ASAP-0032437,COC1=CC=CC(Cl)=C1NC(=O)N1CCC[C@H](C(N)=O)C1,0.3,,,,,,,,,=,,,,,,,,,
ASAP-0031915,O=C(NCC(F)F)[C@H](NC1=CC2=C(C=C1Br)CNC2)C1=CC(Cl)=CC(C2CC2)=C1,2.9,333.0,,,,,,,,=,=,,,,,,,,
ASAP-0031884,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1NC=N2,0.4,,,,,,,,,=,,,,,,,,,
ASAP-0031848,NC(=O)[C@H]1CCCN(C(=O)CC2=CC=CC3=C2C=CO3)C1,1.0,376.0,,,,,,,,=,=,,,,,,,,
ASAP-0031813,CC1=CC(CC(=O)N2CCC[C@H](C(N)=O)C2)=CC=N1,-0.3,375.0,,,,,,,,=,=,,,,,,,,
ASAP-0031747,O=C(NCC(F)F)[C@H](NC1=CN=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.5,362.0,,,,,,,,=,=,,,,,,,,
ASAP-0031580,COC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,0.5,,,,,,,,,=,,,,,,,,,
ASAP-0031651,CC1=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=CC(C(F)(F)F)=C1,1.0,,,,,,,,,=,,,,,,,,,
ASAP-0031402,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1OC=C2,0.6,187.0,,,,,,,,=,=,,,,,,,,
ASAP-0031455,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2,2.8,134.0,,11.0,,,,,,=,=,,=,,,,,,
